Column1;Column2;Column3
BT-X-308;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:ID;ID des enthaltenen referenzierten Produkts
BT-X-15;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:GloballD;Globale ID des enthaltenen referenzierten Produkts
BT-X-15-1;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:GlobalID/@schemeID;Kennung des Schemas
BT-X-16;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:SellerAssignedID;Vom Verkäufer vergebene ID des enthaltenen referenzierten Produkts
BT-X-17;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:BuyerAssignedID;Vom Käufer vergebene ID des enthaltenen referenzierten Produkts
BT-X-309;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:IndustryAssignedID;Von der Industrie vergebene ID des enthaltenen referenzierten Produkts
BT-X-18;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:Name;Name des enthaltenen referenzierten Produkts
BT-X-19;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:Description;Beschreibung des eingeschlossenen referenzierten Produkts
BT-X-20;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:UnitQuantity;Menge des enthaltenen referenzierten Produkts
BT-X-20-1;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:IncludedReferencedProduct/ram:UnitQuantity/@unitCode;Maßeinheit
BG-29;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement;DETAILINFORMATIONEN ZUM PREIS
BG-X-81;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:SellerOrderReferencedDocument;Angaben zu einer Verkäuferauftragsreferenz
BT-X-537;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID;Dokumentennummer
BT-X-538;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:SellerOrderReferencedDocument/ram:LineID;Referenzierte Position
BT-X-539-00;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:SellerOrderReferencedDocument/ram:FormattedIssueDateTime;Dokumentendatum
BT-X-539;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:SellerOrderReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString;Dokumentendatum, Wert
BT-X-539-0;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:SellerOrderReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString/@format;Datum, Format
BT-132-00;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument;Detailangaben zur zugehörigen Bestellung
BT-X-21;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID;Bestellnummer
BT-132;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:LineID;Referenz zur Bestellposition
BT-X-22-00;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:FormattedIssueDateTime;Bestelldatum
BT-X-22;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString;Bestelldatum, Wert
BT-X-22-0;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString/@format;Datum, Format
BG-X-47;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:QuotationReferencedDocument;Detailangaben zu einer Referenz eines Angebotsdokuments
BT-X-310;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:QuotationReferencedDocument/ram:IssuerAssignedID;Dokumentennummer
BT-X-311;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:QuotationReferencedDocument/ram:LineID;Referenzierte Position
BT-X-312-00;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:QuotationReferencedDocument/ram:FormattedIssueDateTime;Dokumentendatum
BT-X-312;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:QuotationReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString;Dokumentendatum, Wert
BT-X-312-0;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:QuotationReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString/@format;Datum, Format
BG-X-2;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:ContractReferencedDocument;Detailangaben zum zugehörigen Vertrag
BT-X-24;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID;Vertragsnummer
BT-X-25;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:ContractReferencedDocument/ram:LineID;Vertragsposition
BT-X-26-00;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:ContractReferencedDocument/ram:FormattedIssueDateTime;Vertragsdatum
BT-X-26;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:ContractReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString;Vertragsdatum, Wert
BT-X-26-0;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:ContractReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString/@format;Datum, Format
BG-X-3;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument;Detailangaben zu einer zusätzlichen Dokumentenreferenz
BT-X-27;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID;Dokumentennummer
BT-X-28;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:URIID;Bezugsort des Dokuments
BT-X-29;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:LineID;Referenzierte Position
BT-X-30;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:TypeCode;Art des Dokuments (Code)
BT-X-299;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:Name;Beschreibung des Dokuments
BT-X-31;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:AttachmentBinaryObject;Anhangsdokument
BT-X-31-1;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:AttachmentBinaryObject/@mimeCode;MIME-Code des Anhangsdokuments
BT-X-31-2;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:AttachmentBinaryObject/@filename;Dateiname des Anhangsdokuments
BT-X-32;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:ReferenceTypeCode;Art der Dokumentenrefernz (Code)
BT-X-33-00;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:FormattedIssueDateTime;Dokumentendatum
BT-X-33;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString;Dokumentendatum, Wert
BT-X-33-0;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:AdditionalReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString/@format;Datum, Format
BT-148-00;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice;Detailinformationen zum Bruttopreis des Artikels
BT-148;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:ChargeAmount;Bruttopreis des Artikels
BT-149-1;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:BasisQuantity;Basismenge zum Artikelpreis
BT-150-1;/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:BasisQuantity/@unitCode;Code der Maßeinheit der Basismenge
BT-X-34;"/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=""false""]/ram:CalculationPercent";Rabatt in Prozent
BT-X-35;"/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=""false""]/ram:BasisAmount";Basisbetrag des Rabatts
BT-147;"/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=""false""]/ram:ActualAmount";Nachlass auf den Artikelpreis
BT-X-313;"/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=""false""]/ram:ReasonCode";Grund des Abschlags (Code)
BT-X-36;"/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=""false""]/ram:Reason";Grund des Abschlags (Freitext)
BT-X-299-00;"/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=""true""]";Indikator für Preiszuschlag
BT-X-299-01;"/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=""true""]/ram:ChargeIndicator";Indikator für Preiszuschlag, Wert
